Localidad,Provincia,Auto_año,Tipo_de_auto,Marca,Modelo
Capital federal,Ciudad Autónoma de Bs.As.,1999,Sedan 5 ptas,Peugeot,206xrd
Capital federal,Ciudad Autónoma de Bs.As.,1999,Sedan 5 puertas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 puertas,Chevrolet,Spin
Capital federal,Ciudad Autónoma de Bs.As.,2011,Sedan 5 puertas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 5 ptas,Volkswagen,Fox
Ituzaingo,Buenos Aires,2006,Sedan 5 puertas,Chevrolet,Meriva
Capital federal,Ciudad Autónoma de Bs.As.,2005,Sedan 5 ptas,Volkswagen,Gol
Ezeiza,Buenos Aires,2001,Sedan 5 ptas,Chevrolet,Zafira
Capital federal,Ciudad Autónoma de Bs.As.,2005,Sedan 5 ptas,Honda,Fit
Pilar,Buenos Aires,2014,Sedan 5 puertas,Fiat,Uno
Merlo,Buenos Aires,2008,Sedan 5 ptas,Fiat,Palio
Capital federal,Ciudad Autónoma de Bs.As.,2021,Sedan 5 puertas,Chevrolet,Onix
Merlo,Buenos Aires,2008,Sedan 5 ptas,Ford,Fiesta
Merlo,Buenos Aires,2005,Sedan 5 ptas,Citroen,C3
Capital federal,Ciudad Autónoma de Bs.As.,2017,Sedan 5 puertas,Toyota,Etios
Lanus,Buenos Aires,2008,Sedan 5 ptas,Volkswagen,Fox
Merlo,Buenos Aires,2016,Sedan 5 puertas,Peugeot,208
Capital federal,Ciudad Autónoma de Bs.As.,2015,Sedan 5 puertas,Chevrolet,Onix
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 puertas,Volkswagen,Gol
La matanza,Buenos Aires,2004,Sedan 5 puertas,Volkswagen,Gol
La matanza,Buenos Aires,2015,Sedan 5 puertas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2017,Sedan 5 puertas,Ford,Fiesta
Capital federal,Ciudad Autónoma de Bs.As.,2018,Sedan 5 puertas,Peugeot,2008
Capital federal,Ciudad Autónoma de Bs.As.,2008,Sedan 5 puertas,Volkswagen,Fox
La matanza,Buenos Aires,2012,Sedan 5 ptas,Chevrolet,Cruze
Capital federal,Ciudad Autónoma de Bs.As.,2005,Sedan 5 puertas,Ford,Fiesta
La matanza,Buenos Aires,2022,Sedan 5 puertas,Volkswagen,Polo
Mar del plata,Buenos Aires,2006,Sedan 5 ptas,Honda,Fit
Ezeiza,Buenos Aires,2018,Sedan 5 puertas,Citroen,C4
Capital federal,Ciudad Autónoma de Bs.As.,0,Sedan 5 ptas,Fiat,Uno
Capital federal,Ciudad Autónoma de Bs.As.,1999,Sedan 5 ptas,Peugeot,206
Pilar,Buenos Aires,2001,Sedan 5 ptas,Volkswagen,Golf
Ezeiza,Buenos Aires,1996,Sedan 5 ptas,Peugeot,205
Pilar,Buenos Aires,1998,Sedan 5 ptas,Volkswagen,Gol
Ezeiza,Buenos Aires,2010,Sedan 5 ptas,Suzuki,Fun
Pilar,Buenos Aires,2015,Sedan 5 puertas,Renault,Nuevo
Capital federal,Ciudad Autónoma de Bs.As.,2010,Sedan 5 ptas,Chevrolet,Meriva
Capital federal,Ciudad Autónoma de Bs.As.,2008,Sedan 5 puertas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2015,Sedan 5 puertas,Chevrolet,Spin
Capital federal,Ciudad Autónoma de Bs.As.,1999,Sedan 5 ptas,Chevrolet,Corsa
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2008,Sedan 5 puertas,Fiat,Uno
Capital federal,Ciudad Autónoma de Bs.As.,2019,Sedan 5 puertas,Renault,Kwid
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 puertas,Fiat,Punto
La matanza,Buenos Aires,2008,Sedan 5 puertas,Fiat,Uno
Capital federal,Ciudad Autónoma de Bs.As.,2017,Sedan 5 puertas,Nissan,Note
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 puertas,Volkswagen,Gol
Ituzaingo,Buenos Aires,2014,Sedan 5 puertas,Chevrolet,Spin
Tigre,Buenos Aires,2007,Sedan 5 ptas,Chevrolet,Meriva
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 5 puertas,Chevrolet,Celta
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 5 ptas,Volkswagen,Fox
Capital federal,Ciudad Autónoma de Bs.As.,2018,Sedan 5 puertas,Ford,Ka
Merlo,Buenos Aires,1998,Sedan 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2016,Sedan 5 puertas,Volkswagen,Fox
Capital federal,Ciudad Autónoma de Bs.As.,2010,Sedan 5 ptas,Renault,Sandero
La matanza,Buenos Aires,2016,Sedan 5 puertas,Volkswagen,Gol
La matanza,Buenos Aires,2002,Sedan 5 puertas,Chevrolet,Zafira
Capital federal,Ciudad Autónoma de Bs.As.,2014,Sedan 5 puertas,Chevrolet,Cruze
Capital federal,Ciudad Autónoma de Bs.As.,2018,Sedan 5 puertas,Toyota,Etios
Capital federal,Ciudad Autónoma de Bs.As.,2014,Sedan 5 puertas,Chevrolet,Onix
San martin,Buenos Aires,2019,Sedan 5 puertas,Toyota,Etios
La matanza,Buenos Aires,2014,Sedan 5 puertas,Chevrolet,Sonic
Capital federal,Ciudad Autónoma de Bs.As.,2010,Sedan 5 puertas,Volkswagen,Gol
La matanza,Buenos Aires,2018,Sedan 5 puertas,Volkswagen,Polo
La matanza,Buenos Aires,2016,Sedan 5 puertas,Renault,Nuevo
Capital federal,Ciudad Autónoma de Bs.As.,2015,Sedan 5 puertas,Volkswagen,Gol
Zarate,Buenos Aires,2002,Sedan 5 ptas,Renault,Megane
Capital federal,Ciudad Autónoma de Bs.As.,2003,Sedan 5 puertas,Volkswagen,Golf
La matanza,Buenos Aires,2018,Sedan 5 puertas,Fiat,Argo
Capital federal,Ciudad Autónoma de Bs.As.,2019,Sedan 5 puertas,Chevrolet,Spin
Jose c. paz,Buenos Aires,2010,Sedan 5 ptas,Renault,Sandero
La matanza,Buenos Aires,1999,Sedan 5 ptas,Peugeot,306
Escobar nº 3 (ex. ingeniero maschwitz),Buenos Aires,2011,Sedan 5 ptas,Fiat,Punto
Capital federal,Ciudad Autónoma de Bs.As.,1998,Sedan 5 ptas,Daewoo,Tico
Capital federal,Ciudad Autónoma de Bs.As.,1999,Sedan 5 ptas,Peugeot,106
Escobar nº 3 (ex. ingeniero maschwitz),Buenos Aires,1996,Sedan 5 ptas,Volkswagen,Golf
La matanza,Buenos Aires,2006,Sedan 5 ptas,Chevrolet,Meriva
Capital federal,Ciudad Autónoma de Bs.As.,1997,Sedan 5 ptas,Peugeot,205
Capital federal,Ciudad Autónoma de Bs.As.,1998,Sedan 5 ptas,Chevrolet,Corsa
Jose c. paz,Buenos Aires,2012,Sedan 5 puertas,Chevrolet,Cruze
Escobar nº 3 (ex. ingeniero maschwitz),Buenos Aires,2009,Sedan 5 puertas,Fiat,Punto
Capital federal,Ciudad Autónoma de Bs.As.,2014,Sedan 5 puertas,Renault,Sandero
Berazategui,Buenos Aires,2018,Sedan 5 puertas,Toyota,Etios
Capital federal,Ciudad Autónoma de Bs.As.,2014,Sedan 5 puertas,Ford,Fiesta
Capital federal,Ciudad Autónoma de Bs.As.,2008,Sedan 5 ptas,Volkswagen,Gol
Ensenada,Buenos Aires,2010,Sedan 5 ptas,Volkswagen,Fox
Capital federal,Ciudad Autónoma de Bs.As.,2019,Sedan 5 puertas,Toyota,Yaris
Capital federal,Ciudad Autónoma de Bs.As.,2014,Sedan 5 puertas,Chevrolet,Cruze
Capital federal,Ciudad Autónoma de Bs.As.,2015,Sedan 5 puertas,Ford,Fiesta
Adrogue,Buenos Aires,1996,Sedan 5 ptas,Renault,Clio
Ituzaingo,Buenos Aires,2015,Sedan 5 puertas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2014,Sedan 5 puertas,Chevrolet,Sonic
Jose c. paz,Buenos Aires,2009,Sedan 5 puertas,Chevrolet,Meriva
Adrogue,Buenos Aires,2013,Sedan 5 puertas,Toyota,Etios
San clemente del tuyu,Buenos Aires,2011,Sedan 5 ptas,Chevrolet,Cruze
Adrogue,Buenos Aires,2016,Sedan 5 puertas,Ford,Ka
Adrogue,Buenos Aires,2011,Sedan 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2017,Sedan 5 puertas,Peugeot,2008
Berazategui,Buenos Aires,1998,Sedan 5 puertas,Volkswagen,Golf
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2022,Sedan 5 puertas,Toyota,Etios
Adrogue,Buenos Aires,2009,Sedan 5 ptas,Suzuki,Swift
Lomas de zamora,Buenos Aires,2020,Sedan 5 puertas,Peugeot,208
Lomas de zamora,Buenos Aires,2017,Sedan 5 puertas,Ford,Fiesta
La matanza,Buenos Aires,2017,Sedan 5 puertas,Ford,Ka
La matanza,Buenos Aires,2020,Sedan 5 puertas,Chevrolet,Onix
Escobar nº 3 (ex. ingeniero maschwitz),Buenos Aires,2011,Sedan 5 ptas,Chery,Qq
La matanza,Buenos Aires,2011,Sedan 5 ptas,Ford,Fiesta
La matanza,Buenos Aires,2001,Sedan 5 puertas,Hyundai,Atos
Capital federal,Ciudad Autónoma de Bs.As.,2016,Sedan 5 puertas,Peugeot,208
Capital federal,Ciudad Autónoma de Bs.As.,2018,Sedan 5 puertas,Peugeot,208
La matanza,Buenos Aires,2004,Sedan 5 ptas,Chevrolet,Astra
Escobar nº 3 (ex. ingeniero maschwitz),Buenos Aires,2010,Sedan 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2008,Sedan 5 ptas,Fiat,Palio
Lomas de zamora,Buenos Aires,2011,Sedan 5 ptas,Renault,Sandero
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 ptas,Volkswagen,Gol
Lomas de zamora,Buenos Aires,2017,Sedan 5 puertas,Peugeot,2008
Moreno,Buenos Aires,2006,Sedan 5 ptas,Chevrolet,Meriva
Lomas de zamora,Buenos Aires,2013,Sedan 5 ptas,Citroen,C3
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 puertas,Peugeot,208
La matanza,Buenos Aires,2007,Sedan 5 ptas,Chevrolet,Zafira
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 5 ptas,Chevrolet,Meriva
La matanza,Buenos Aires,1999,Sedan 5 puertas,Peugeot,206xrd
Capital federal,Ciudad Autónoma de Bs.As.,2019,Sedan 5 puertas,Peugeot,208
La matanza,Buenos Aires,2011,Sedan 5 ptas,Chevrolet,Celta
Capital federal,Ciudad Autónoma de Bs.As.,2010,Sedan 5 ptas,Chevrolet,Meriva
Capital federal,Ciudad Autónoma de Bs.As.,2008,Sedan 5 ptas,Honda,Fit
Capital federal,Ciudad Autónoma de Bs.As.,2005,Sedan 5 ptas,Ford,Fiesta
Capital federal,Ciudad Autónoma de Bs.As.,2013,Sedan 5 puertas,Citroen,Nuevo
Moreno,Buenos Aires,2007,Sedan 5 ptas,Renault,Megane
La matanza,Buenos Aires,2016,Sedan 5 puertas,Chevrolet,Onix
Capital federal,Ciudad Autónoma de Bs.As.,2012,Sedan 5 puertas,Ford,Fiesta
Capital federal,Ciudad Autónoma de Bs.As.,2011,Sedan 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2006,Sedan 5 ptas,Suzuki,Fun
Neuquen,Neuquén,2014,Rural 5 puertas,Ford,Ecosport
Mendoza,Mendoza,2005,Rural 5 ptas,Peugeot,206
Mendoza,Mendoza,2004,Rural 5 puertas,Volkswagen,Gol
Godoy cruz,Mendoza,2004,Rural 5 ptas,Ford,Escosport
Rosario,Santa Fe,2011,Rural 5 puertas,Citroen,C3
Godoy cruz,Mendoza,2006,Rural 5 ptas,Volkswagen,Gol
Rosario,Santa Fe,2006,Rural 5 ptas,Volkswagen,Gol
Rosario,Santa Fe,2007,Rural 5 ptas,Peugeot,307
Santa fe,Santa Fe,2012,Rural 5 ptas,Peugeot,5008
Rosario,Santa Fe,2011,Rural 5 ptas,Peugeot,3008
Arroyo seco,Santa Fe,2013,Rural 5 puertas,Renault,Duster
Mendoza,Mendoza,2007,Rural 5 ptas,Ford,Ecosport
Mendoza,Mendoza,2008,Rural 5 ptas,Ford,Ecosport
Concepcion del uruguay,Entre Ríos,2013,Rural 5 puertas,Renault,Duster
Rosario,Santa Fe,2012,Rural 5 ptas,Citroen,C3
Mendoza,Mendoza,2018,Rural 5 puertas,Ford,Ecosport
San rafael,Mendoza,2007,Rural 5 ptas,Ford,Ecosport
Mendoza,Mendoza,2011,Rural 5 ptas,Citroen,C3
Gualeguaychu,Entre Ríos,2006,Rural 5 ptas,Ford,Ecosport
General san martin,Mendoza,2005,Rural 5 ptas,Peugeot,206
Villa la angostura,Neuquén,2015,Rural 5 puertas,Ford,Ecosport
Rosario,Santa Fe,2011,Rural 5 ptas,Fiat,Palio
Mendoza,Mendoza,2004,Rural 5 ptas,Ford,Ecosport
Mendoza,Mendoza,2004,Rural 5 ptas,Ford,Ecosport
Neuquen,Neuquén,2010,Rural 5 ptas,Dodge,Journey
La matanza,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Tres de febrero,Buenos Aires,2018,Rural 5 ptas,Ford,Ecosport
La matanza,Buenos Aires,2009,Rural 5 ptas,Ford,Ecosport
San martin,Buenos Aires,2019,Rural 5 puertas,Chevrolet,Tracker
La matanza,Buenos Aires,1998,Rural 5 ptas,Volkswagen,Gol
Mercedes,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Lanus,Buenos Aires,2012,Rural 5 ptas,Ford,Ecosport
Merlo,Buenos Aires,2018,Rural 5 puertas,Ford,Ecosport
Berazategui,Buenos Aires,2011,Rural 5 ptas,Renault,Duster
La matanza,Buenos Aires,2011,Rural 5 ptas,Citroen,C3
La matanza,Buenos Aires,2012,Rural 5 ptas,Ford,Ecosport
La matanza,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Lanus,Buenos Aires,2006,Rural 5 ptas,Ford,Ecosport
Lanus,Buenos Aires,2012,Rural 5 ptas,Peugeot,3008
Lomas de zamora,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Merlo,Buenos Aires,2007,Rural 5 puertas,Volkswagen,Gol
Esteban echeverria,Buenos Aires,2009,Rural 5 ptas,Ford,Ecosport
Olivos,Buenos Aires,2015,Rural 5 puertas,Ford,Ecosport
Escobar,Buenos Aires,2011,Rural 5 puertas,Chery,Tiggo
Adrogue,Buenos Aires,2015,Rural 5 puertas,Ford,Ecosport
Moron,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
La plata,Buenos Aires,2011,Rural 5 ptas,Chery,Tiggo
Pilar,Buenos Aires,1998,Rural 5 puertas,Chevrolet,Corsa
San miguel,Buenos Aires,2011,Rural 5 ptas,Chery,Tiggo
Tres de febrero,Buenos Aires,2012,Rural 5 ptas,Ford,Ecosport
Pilar,Buenos Aires,2005,Rural 5 ptas,Ford,Ecosport
Moron,Buenos Aires,2021,Rural 5 puertas,Renault,Nuevo
Esteban echeverria,Buenos Aires,2008,Rural 5 puertas,Volkswagen,Gol
Esteban echeverria,Buenos Aires,1997,Rural 5 ptas,Ford,Explorer
Avellaneda,Buenos Aires,2015,Rural 5 puertas,Chevrolet,Chevrolet
La matanza,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Quilmes,Buenos Aires,2017,Rural 5 puertas,Ford,Ecosport
La matanza,Buenos Aires,2004,Rural 5 puertas,Volkswagen,Gol
La matanza,Buenos Aires,2021,Rural 5 puertas,Chevrolet,Tracker
Berazategui,Buenos Aires,2014,Rural 5 puertas,Ford,Ecosport
San vicente,Buenos Aires,2018,Rural 5 puertas,Chery,Tiggo
Berazategui,Buenos Aires,2008,Rural 5 puertas,Fiat,Palio
San isidro,Buenos Aires,2007,Rural 5 ptas,Volvo,V50
La matanza,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Esteban echeverria,Buenos Aires,2014,Rural 5 puertas,Citroen,C3
Quilmes,Buenos Aires,2009,Rural 5 ptas,Dodge,Journey
La matanza,Buenos Aires,2001,Rural 5 ptas,Peugeot,306
Avellaneda,Buenos Aires,2013,Rural 5 puertas,Hyundai,Tucson
La matanza,Buenos Aires,2014,Rural 5 puertas,Ford,Ecosport
Lanus,Buenos Aires,2013,Rural 5 puertas,Chery,Tiggo
Avellaneda,Buenos Aires,2022,Rural 5 puertas,Ford,Territory
La matanza,Buenos Aires,2021,Rural 5 puertas,Chevrolet,Tracker
Florencio varela,Buenos Aires,2005,Rural 5 puertas,Volkswagen,Gol
Tres de febrero,Buenos Aires,2000,Rural 5 ptas,Peugeot,306
San martin,Buenos Aires,2005,Rural 5 ptas,Fiat,Palio
La matanza,Buenos Aires,2017,Rural 5 puertas,Citroen,C3
Moron,Buenos Aires,2004,Rural 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2006,Rural 5 puertas,Fiat,Palio
La matanza,Buenos Aires,2017,Rural 5 puertas,Citroen,C3
Lomas de zamora,Buenos Aires,2017,Rural 5 puertas,Jeep,Renegade
Navarro,Buenos Aires,2005,Rural 5 ptas,Ford,Ecosport
Ayacucho,Buenos Aires,2013,Rural 5 puertas,Chery,Tiggo
Coronel vidal,Buenos Aires,2010,Rural 5 ptas,Chery,Tiggo
Adrogue,Buenos Aires,2007,Rural 5 ptas,Ford,Ecosport
La plata,Buenos Aires,2011,Rural 5 ptas,Citroen,C3
Moron nº 04 (ex. moron nº 9),Buenos Aires,2011,Rural 5 ptas,Ford,Ecosport
Avellaneda,Buenos Aires,2017,Rural 5 puertas,Ford,Ecosport
San vicente,Buenos Aires,2007,Rural 5 ptas,Fiat,Palio
Moron,Buenos Aires,2007,Rural 5 puertas,Volkswagen,Gol
Avellaneda,Buenos Aires,2017,Rural 5 puertas,Fiat,Weekend
Lomas de zamora,Buenos Aires,2010,Rural 5 puertas,Ford,Ecosport
La matanza,Buenos Aires,2006,Rural 5 ptas,Ford,Ecosport
San vicente,Buenos Aires,2013,Rural 5 ptas,Ford,Ecosport
Hurlingham nº 2 (ex. moron nº 10),Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Lanus,Buenos Aires,2005,Rural 5 ptas,Ford,Ecosport
Adrogue,Buenos Aires,2007,Rural 5 ptas,Ford,Ecosport
La plata,Buenos Aires,2018,Rural 5 puertas,Suzuki,Vitara
Malvinas argentinas nº 1 (ex. san miguel nro. 4),Buenos Aires,2007,Rural 5 ptas,Volkswagen,Gol
Campana,Buenos Aires,2010,Rural 5 ptas,Dodge,Journey
La matanza,Buenos Aires,2019,Rural 5 puertas,Citroen,C3
Mar del plata,Buenos Aires,2017,Rural 5 puertas,Ford,Ecosport
San martin,Buenos Aires,2004,Rural 5 puertas,Volkswagen,Gol
San martin,Buenos Aires,2013,Rural 5 puertas,Chevrolet,Chevrolet
Adrogue,Buenos Aires,2013,Rural 5 ptas,Renault,Duster
Avellaneda,Buenos Aires,2013,Rural 5 puertas,Peugeot,5008
San vicente,Buenos Aires,2010,Rural 5 ptas,Dodge,Journey
Adrogue,Buenos Aires,2016,Rural 5 puertas,Ford,Ecosport
Lomas de zamora,Buenos Aires,2004,Rural 5 ptas,Ford,Ecosport
San isidro,Buenos Aires,2012,Rural 5 ptas,Citroen,C3
Lomas de zamora,Buenos Aires,2020,Rural 5 puertas,Ford,Ecosport
Adrogue,Buenos Aires,2004,Rural 5 ptas,Chevrolet,Blazer
Moron,Buenos Aires,2012,Rural 5 ptas,Dodge,Journey
La matanza,Buenos Aires,2008,Rural 5 puertas,Ford,Ecosport
Lomas de zamora,Buenos Aires,1999,Rural 5 ptas,Volkswagen,Gol
La plata,Buenos Aires,2018,Rural 5 puertas,Jeep,Renegade
Tres de febrero,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Mar del plata,Buenos Aires,2021,Rural 5 puertas,Jeep,Compass
Lomas de zamora,Buenos Aires,2017,Rural 5 puertas,Chevrolet,Chevrolet
Capital federal,Ciudad Autónoma de Bs.As.,2006,Rural 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2012,Rural 5 ptas,Citroen,C3
Rio segundo,Córdoba,2018,Rural 5 puertas,Chevrolet,Chevrolet
La matanza,Buenos Aires,2012,Rural 5 ptas,Citroen,C3
Cordoba,Córdoba,2012,Rural 5 ptas,Renault,Duster
San agusti,Córdoba,2001,Rural 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2009,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2014,Rural 5 puertas,Chevrolet,Chevrolet
Ezeiza,Buenos Aires,2009,Rural 5 ptas,Volkswagen,Gol
San agusti,Córdoba,2007,Rural 5 ptas,Fiat,Palio
Cordoba,Córdoba,2017,Rural 5 puertas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2008,Rural 5 ptas,Fiat,Palio
La matanza,Buenos Aires,2013,Rural 5 ptas,Citroen,C3
Moreno,Buenos Aires,2003,Rural 5 ptas,Ford,Ecosport
Moreno,Buenos Aires,2012,Rural 5 ptas,Chery,Tiggo
Tres de febrero,Buenos Aires,2015,Rural 5 puertas,Fiat,Weekend
Lanus,Buenos Aires,2009,Rural 5 ptas,Fiat,Palio
Jose c. paz,Buenos Aires,1998,Rural 5 ptas,Volkswagen,Gol
Ituzaingó nº 2 (ex. morón nº 11),Buenos Aires,1999,Rural 5 puertas,Volkswagen,Gol
Ituzaingó nº 2 (ex. morón nº 11),Buenos Aires,2012,Rural 5 puertas,Ford,Ecosport
Lanus,Buenos Aires,2006,Rural 5 ptas,Ford,Ecosport
Berisso,Buenos Aires,2009,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2017,Rural 5 puertas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2019,Rural 5 puertas,Renault,Duster
Tigre,Buenos Aires,2007,Rural 5 ptas,Renault,Megane
Cordoba,Córdoba,2017,Rural 5 puertas,Citroen,C3
Pilar,Buenos Aires,2015,Rural 5 puertas,Ford,Ecosport
Cordoba,Córdoba,2023,Rural 5 puertas,Toyota,Corolla
Capital federal,Ciudad Autónoma de Bs.As.,2009,Rural 5 ptas,Honda,Crv
Jose c. paz,Buenos Aires,2013,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2008,Rural 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2013,Rural 5 puertas,Renault,Duster
Villa carlos paz,Córdoba,2010,Rural 5 ptas,Dodge,Journey
Capital federal,Ciudad Autónoma de Bs.As.,2011,Rural 5 puertas,Dodge,Journey
Cordoba,Córdoba,2022,Rural 5 puertas,Jeep,Renegade
Capital federal,Ciudad Autónoma de Bs.As.,2013,Rural 5 puertas,Citroen,C4
La plata,Buenos Aires,2014,Rural 5 puertas,Chevrolet,Chevrolet
San martin,Buenos Aires,1999,Rural 5 ptas,Chevrolet,Blazer
Capital federal,Ciudad Autónoma de Bs.As.,2012,Rural 5 puertas,Volkswagen,Volkswagen
Lomas de zamora,Buenos Aires,2004,Rural 5 ptas,Volkswagen,Gol
Resistencia,Chaco,2018,Rural 5 puertas,Chery,Tiggo
Lomas de zamora,Buenos Aires,2012,Rural 5 ptas,Chery,Tiggo
Capital federal,Ciudad Autónoma de Bs.As.,2017,Rural 5 puertas,Citroen,C3
La matanza,Buenos Aires,2006,Rural 5 ptas,Volkswagen,Gol
Ituzaingo,Buenos Aires,2011,Rural 5 ptas,Chery,Tiggo
Jose c. paz,Buenos Aires,2002,Rural 5 ptas,Volkswagen,Passat
Jose c. paz,Buenos Aires,2009,Rural 5 ptas,Chery,Tiggo
Cordoba,Córdoba,2016,Rural 5 puertas,Ford,Ecosport
Cordoba,Córdoba,2012,Rural 5 ptas,Renault,Duster
Cordoba,Córdoba,2012,Rural 5 puertas,Peugeot,5008
Cordoba,Córdoba,2018,Rural 5 puertas,Jeep,Renegade
Capital federal,Ciudad Autónoma de Bs.As.,2019,Rural 5 puertas,Ford,Ecosport
Lanus,Buenos Aires,2018,Rural 5 puertas,Chery,Tiggo
Cordoba,Córdoba,2009,Rural 5 ptas,Fiat,Palio
Lomas de zamora,Buenos Aires,2012,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2011,Rural 5 ptas,Peugeot,3008
Lomas de zamora,Buenos Aires,2018,Rural 5 puertas,Jeep,Renegade
Capital federal,Ciudad Autónoma de Bs.As.,2020,Rural 5 puertas,Ford,Ecosport
Jose c. paz,Buenos Aires,2005,Rural 5 puertas,Volkswagen,Gol
Florencio varela,Buenos Aires,2012,Rural 5 ptas,Renault,Duster
Cordoba,Córdoba,2004,Rural 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,1997,Rural 5 ptas,Chevrolet,Blazer
Capital federal,Ciudad Autónoma de Bs.As.,2011,Rural 5 ptas,Ford,Ecosport
Quilmes,Buenos Aires,1997,Rural 5 puertas,Chevrolet,Blazer
Jose c. paz,Buenos Aires,2010,Rural 5 ptas,Ford,Ecosport
Malvinas argentinas,Buenos Aires,2008,Rural 5 puertas,Volkswagen,Sharan
La matanza,Buenos Aires,2013,Rural 5 puertas,Ford,Ecosport
Cordoba,Córdoba,2022,Rural 5 puertas,Ford,Territory
Capital federal,Ciudad Autónoma de Bs.As.,2005,Rural 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2017,Rural 5 puertas,Chery,Tiggo
Pilar,Buenos Aires,2009,Rural 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2009,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2005,Rural 5 ptas,Fiat,Palio
La matanza,Buenos Aires,2016,Rural 5 puertas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2020,Rural 5 puertas,Ford,Territory
Cordoba,Córdoba,2015,Rural 5 puertas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2016,Rural 5 puertas,Fiat,Weekend
Jose c. paz,Buenos Aires,2018,Rural 5 puertas,Chevrolet,Chevrolet
Capital federal,Ciudad Autónoma de Bs.As.,2017,Rural 5 puertas,Chery,Tiggo
Capital federal,Ciudad Autónoma de Bs.As.,2009,Rural 5 ptas,Volkswagen,Passat
La matanza,Buenos Aires,2005,Rural 5 puertas,Fiat,Palio
Capital federal,Ciudad Autónoma de Bs.As.,2012,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2008,Rural 5 ptas,Ford,Ecosport
Malvinas argentinas,Buenos Aires,2011,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2005,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,2004,Rural 5 ptas,Volkswagen,Gol
Capital federal,Ciudad Autónoma de Bs.As.,2004,Rural 5 ptas,Volkswagen,Gol
Quilmes,Buenos Aires,2012,Rural 5 ptas,Renault,Duster
Moreno,Buenos Aires,2009,Rural 5 ptas,Ford,Ecosport
Capital federal,Ciudad Autónoma de Bs.As.,1997,Rural 5 ptas,Volkswagen,Gol
La matanza,Buenos Aires,2018,Rural 5 puertas,Chevrolet,Chevrolet
Malvinas argentinas,Buenos Aires,2011,Rural 5 ptas,Citroen,C3
Malvinas argentinas,Buenos Aires,2004,Rural 5 ptas,Volkswagen,Gol
